ID,DESCRIPTION,LITHOLOGY
271,Brown oolitic lime,BEDROCK
272,"coal, broken",BEDROCK
273,Dark brown dense lime,BEDROCK
274,surface and clay,SOIL
275,Above plus gray and green shale,BEDROCK
276,"""Glassrock"" (Quimbys Mill)",BEDROCK
277,Gray and red shale,BEDROCK
278,Light brown oolitic lime,BEDROCK
279,St. Peters sand,BEDROCK
280,"shale:gray,fine",BEDROCK
281,Brown crystalline to dense lime,BEDROCK
282,"rock, red",BEDROCK
283,Brown oolitic crystalline lime,BEDROCK
284,"shale:gray,fine to sandy",BEDROCK
285,"clay, soft, white",CLAY
286,Above to dolomitic,BEDROCK
287,"clay brown, sandy",CLAY AND SAND
288,Barlow,BEDROCK
289,yellow clay & shale,DIRT AND BEDROCK
290,"coal, medium hard",BEDROCK
291,Light brown oolitic crystalline lime,BEDROCK
292,Light green fine grained sand,SAND
293,Light brown sucrossic dolomite,BEDROCK
294,clay gray dense,CLAY
295,"shale, sand, light",BEDROCK
296,Gray and brown crystalline fossiliferous lime,BEDROCK
297,shale gray limy,BEDROCK
298,Dark brown crystalline to dense lime,BEDROCK
299,Platteville limestone,BEDROCK
300,Gray crystalline to dolomitic lime,BEDROCK
301,Gray and brown crystalline lime,BEDROCK
302,gray flint,BEDROCK
303,"coal, normally banded and bright",BEDROCK
304,Above plus green and gray shale,BEDROCK
305,"Brown crystalline fossiliferous lime, scattered oolites",BEDROCK
306,Light gray crystalline lime,BEDROCK
307,clay & chert,DIRT AND BEDROCK
308,yellow & gray limestone,BEDROCK
309,med coarse sand fine gravel,SAND AND GRAVEL
310,gray gravel-sand,SAND AND GRAVEL
311,Above to light brown crystalline lime,BEDROCK
312,clay brown & gray sandy,CLAY AND SAND
313,"lime, white, hard",BEDROCK
314,dirt & drift,CLAY
315,shale and shells,BEDROCK
316,Dubuque,BEDROCK
317,Brown dolomitic fossiliferous lime,BEDROCK
318,clay/rubble,CLAY
319,"sand, brown, medium grain",SAND
320,Gray and green sandy shale,BEDROCK
321,Green fine grained sandstone,BEDROCK
322,clay brown silty,CLAY
323,shale gray limey,BEDROCK
324,gray sand-clay,SAND AND CLAY
325,Shale.,BEDROCK
326,brown limestone soft,BEDROCK
327,st louis,BEDROCK
328,over drift,DIRT
329,Above to gray crystalline lime,BEDROCK
330,Above to gray shale,BEDROCK
331,gray & white lime,BEDROCK
332,"Above, little chalky",BEDROCK
333,Black shale.,BEDROCK
334,shale gray medium,BEDROCK
335,"soil,dark brown",SOIL
336,St. Peters sand,BEDROCK
337,"silty clay, mottled gray, trace sand",CLAY
338,limestone brownish gray,BEDROCK
339,limestone brownish gray,BEDROCK
340,oil rock,BEDROCK
341,no driller's log,UNKNOWN
342,oil rock,BEDROCK
343,Oil rock (Guttenberg),BEDROCK
344,red molding sand,SAND
345,Brown crystalline fossiliferous lime,BEDROCK
346,"Ap horizon dark brown, crumbly",SOIL
347,Brown crystalline fossiliferous lime,BEDROCK
348,clay brown & sand,CLAY AND SAND
349,clay brown sticky firm,CLAY
350,"clay, top soil",CLAY
351,clay brown & sand,CLAY AND SAND
352,clay brown & sand,CLAY AND SAND
353,clay brown & gray,CLAY
354,"coal, broken",BEDROCK
355,Delavan till,CLAY
356,coarse grain sand,SAND
357,Galena lime,BEDROCK
358,f-m sand w/ sm gvl,SAND AND GRAVEL
359,glacial gravel & sand,SAND AND GRAVEL
360,into gravel,GRAVEL
361,sicl mot gr trsa,UNKNOWN
362,"soil, yellow clay, blue clay",SOIL
363,strip mine,UNKNOWN
364,seal yellow clay,CLAY
365,limestone blue gray,BEDROCK
366,limestone blue gray,BEDROCK
367,limestone brownish gray,BEDROCK
368,Oil rock (Guttenberg),BEDROCK
369,Oil rock (Guttenberg),BEDROCK
370,Oil rock (Guttenberg),BEDROCK
371,Oil rock (Guttenberg),BEDROCK
372,No sample.,UNKNOWN
373,red molding sand,SAND
374,red molding sand,SAND
375,"red clay, sand & gvl",CLAY
376,asphalt @ 0.4' & crushed stone,FILL
377,Brown crystalline fossiliferous lime,BEDROCK
378,Brown crystalline fossiliferous lime,BEDROCK
379,Brown crystalline fossiliferous lime,BEDROCK
380,Brown crystalline fossiliferous lime,BEDROCK
381,brown limestone soft,BEDROCK
382,"clay, soft, white",CLAY
383,clay tan w/sand & gravel,CLAY AND SAND
384,clay brown & gray,CLAY
385,clay brown & gray,CLAY
386,"clay, topsoil",CLAY
387,"coal, broken",BEDROCK
388,Galena lime,BEDROCK
389,glacial drift - clay & silt,CLAY
390,grey clay-sand,CLAY AND SAND
391,Keokuk-Burlington,BEDROCK
392,Buff (Wise Lake),BEDROCK
393,soft Niagara,BEDROCK
394,Barlow,BEDROCK
395,"lime, light, hard",BEDROCK
396,claystone & siltst,BEDROCK
397,"limestone, yellow",BEDROCK
398,Light brown oolitic fossiliferous lime,BEDROCK
399,"Shale, dark gray.",BEDROCK
400,Dark gray shale.,BEDROCK
401,"coal, good",BEDROCK
402,"lime, gray, medium",BEDROCK
403,Brown crystalline to slightly dolomitic lime,BEDROCK
404,St. Pete,BEDROCK
405,dark gray shaley limestone,BEDROCK
406,yellow gravel-sand,SAND AND GRAVEL
407,weathered niagara,BEDROCK
408,limestone shaly,BEDROCK
409,"""Trenton"" (Nachusa)",BEDROCK
410,broken brown rock,BEDROCK
411,Tan and light brown crystalline fossiliferous lime,BEDROCK
412,"Shale, black.",BEDROCK
413,limestone-Piasa ls.,BEDROCK
414,limestone yellow/gray,BEDROCK
415,White fine grained sandstone,BEDROCK
416,limestone (yellow),BEDROCK
417,chert & clay,DIRT AND BEDROCK
418,Brown crystalline to dolomitic lime,BEDROCK
419,coal solid,BEDROCK
420,Fusain,BEDROCK
421,coal #1,BEDROCK
422,Dark brown silky shale,BEDROCK
423,assumed sand & gravel,SAND AND GRAVEL
424,coal good,BEDROCK
425,Light gray brown crystalline lime,BEDROCK
426,topsoil clay rock,SOIL
427,shale gray silty,BEDROCK
428,Gray crystalline to dense lime,BEDROCK
429,"Gray crystalline lime, cherty",BEDROCK
430,No samples.,UNKNOWN
431,"fine sand, poorly graded",SAND
432,hard Niagara,BEDROCK
433,Yorkville till,CLAY
434,coarse gray sand & fine gravel mix,SAND AND GRAVEL
435,Gray sucrossic dolomite,BEDROCK
436,Gray dense lime,BEDROCK
437,shale with lime bands,BEDROCK
438,rock & clay fill,FILL
439,emb gray clay,CLAY
440,Light gray sucrossic dolomite,BEDROCK
441,Above plus brown oolitic fossiliferous lime,BEDROCK
442,sand brown wet,SAND
443,shale purple,BEDROCK
444,"Shale, as above.",BEDROCK
445,medium Sankoty sand,SAND
446,Burlington-Keokuk lime,BEDROCK
447,slate and shells,BEDROCK
448,Above to fossiliferous,BEDROCK
449,yellow & white limestone,BEDROCK
450,Gray brown crystalline to dolomitic lime,BEDROCK
451,Above to brown crystalline fossiliferous lime,BEDROCK
452,Above to gray dolomitic lime,BEDROCK
453,"Brown crystalline lime, slightly oolitic",BEDROCK
454,yellow dolomite,BEDROCK
455,Oil Rock (Guttenberg formation),BEDROCK
456,coarse clean sandstone,BEDROCK
457,"medium to fine sand, poorly graded",SAND
458,"limestone:fine to crystalline,light",BEDROCK
459,limestone gray shaley,BEDROCK
460,Glen Dean,BEDROCK
461,limestone-Brereton ls.,BEDROCK
462,lime gray & white hard,BEDROCK
463,limestone (galena),BEDROCK
464,"overburden,no spl required,top of rock",DIRT
465,Limestone.,BEDROCK
466,lgt gray limestone,BEDROCK
467,clay gray sandy firm,CLAY
468,Tan crystalline fossiliferous lime,BEDROCK
469,same dolomite;non-cherty,BEDROCK
470,"Gray and green shale, sandy",BEDROCK
471,Above to dark brown crystalline lime,BEDROCK
472,#6 coal seam,BEDROCK
473,clay brown sandy hard,CLAY AND SAND
474,clay yellow & gray,CLAY
475,gray & dark gray limestone,BEDROCK
476,Brown crystalline fossiliferous oolitic lime,BEDROCK
477,"Brown crystalline lime, cherty",BEDROCK
478,brown limestone & clay,DIRT AND BEDROCK
479,Trenton lime (Nachusa),BEDROCK
480,"sandstone:fine,light",BEDROCK
481,"seal, yellow clay",CLAY
482,earth manle,UNKNOWN
483,Green and white fine grained sand,SAND
484,Light gray dolomitic lime,BEDROCK
485,clay brown firm sticky,CLAY
486,brown shale & lime,BEDROCK
487,Brown slightly dolomitic lime,BEDROCK
488,Upper buff (Wise Lake),BEDROCK
489,Middle Devonian,BEDROCK
490,Light gray brown crystalline fossiliferous lime,BEDROCK
491,clay gray sandy hard,CLAY AND SAND
492,Upper Devonian,BEDROCK
493,sandstone light brown,BEDROCK
494,gravel/shale,DIRT AND BEDROCK
495,brown clay firm,CLAY
496,"Brown oolitic fossiliferous lime, no show of oil",BEDROCK
497,Tan and brown crystalline fossiliferous lime,BEDROCK
498,white fossly limestone,BEDROCK
499,yellow sandy clay at,CLAY AND SAND
500,shale & sand rock,BEDROCK
501,"Shale, as above",BEDROCK
502,Piatt till,CLAY
503,flagstone,BEDROCK
504,"limestone,gray",BEDROCK
505,Above to oolitic,BEDROCK
506,"very fine sand, poorly graded",SAND
507,sand gravel w/sandy clay,GRAVEL AND CLAY
508,shale gray sandy hard,BEDROCK
509,Dark brown oolitic fossiliferous lime,BEDROCK
510,"Green and gray shale, sandy",BEDROCK
511,Above plus brown oolitic lime,BEDROCK
512,Above plus tan crystalline lime,BEDROCK
513,clay gray with sandstone & gravel,DIRT AND BEDROCK
514,brown firm clay,CLAY
515,clay pocket,CLAY
516,Tan oolitic lime,BEDROCK
517,shale gray & red,BEDROCK
518,"Gray brown crystalline lime, cherty",BEDROCK
519,gray rock/shale,BEDROCK
520,"limerock, gray",BEDROCK
521,"Brown dolomitic lime, cherty",BEDROCK
522,Brown granular textured lime,BEDROCK
523,buff colored dolomite,BEDROCK
524,yellow & white sandstone,BEDROCK
525,"Coal, as above",BEDROCK
526,"Fine grained white sandstone, slightly oxidized.",BEDROCK
527,Gray and brown dolomitic lime,BEDROCK
528,Gray oolitic lime,BEDROCK
529,Above to brown dense lime,BEDROCK
530,brown lime & clay,DIRT AND BEDROCK
531,Tan crystalline lime,BEDROCK
532,shale red & gray,BEDROCK
533,sandy shale medium,BEDROCK
534,rock bottom at,BEDROCK
535,coarse clean white sandstone,BEDROCK
536,dark sandy slate,BEDROCK
537,Cypress,BEDROCK
538,drift & shale,DIRT AND BEDROCK
539,Gray calcareous sand,SAND
540,"Above, slightly oolitic",BEDROCK
541,Above to light brown dolomitic lime,BEDROCK
542,Brown and gray crystalline fossiliferous lime,BEDROCK
543,blue clay and shale,DIRT AND BEDROCK
544,brown rock & clay,DIRT AND BEDROCK
545,Trenton (Galena) lime,BEDROCK
546,white & gray sandstone,BEDROCK
547,Niagara dolomite,BEDROCK
548,dark lime rock,BEDROCK
549,fossily limestone,BEDROCK
550,"fine to medium sand, poorly graded",SAND
551,"shale, sticky",BEDROCK
552,"shale:gray,sandy",BEDROCK
553,Mississippi limestone,BEDROCK
554,"Gray, green and red shale",BEDROCK
555,Green gray shale.,BEDROCK
556,limestone yellow broken,BEDROCK
557,limestone yellow/white,BEDROCK
558,clay brown firm,CLAY
559,"Brown oolitic fossiliferous lime, tite",BEDROCK
560,"clay, pink & gravel",CLAY
561,Red fine grained sand,SAND
562,"rock, light, sand",BEDROCK
563,coarse sand & fine gravel mix,SAND AND GRAVEL
564,"shale, sand, gray",BEDROCK
565,limestone-Carlinville ls.,BEDROCK
566,"Light brown crystalline lime, slightly oolitic",BEDROCK
567,"Above, dolomite",BEDROCK
568,vandalia till,CLAY
569,"sand, shale and lime",DIRT AND BEDROCK
570,sandstone light,BEDROCK
571,"shale, gray, sand",BEDROCK
572,"shale gray, soft",BEDROCK
573,New Albany,BEDROCK
574,same dolomite;cherty,BEDROCK
575,shoal creek,BEDROCK
576,Gray brown dense lime,BEDROCK
577,layered gray gravel & gray gravelly clay,GRAVEL AND CLAY
578,"lime & shale, gray",BEDROCK
579,Above to dark brown dense lime,BEDROCK
580,Above to light brown oolitic lime,BEDROCK
581,Above plus gray brown dolomitic lime,BEDROCK
582,Brown sandy oolitic lime,BEDROCK
583,clay gray & gravel,CLAY AND GRAVEL
584,"clod, dark",DIRT
585,Brown crystalline fossiliferous lime.,BEDROCK
586,top of Ste. Genevieve at,BEDROCK
587,topsoil 3 clay 9,SOIL
588,shale gray & purple,BEDROCK
589,"Shale, gray.",BEDROCK
590,shale medium gray,BEDROCK
591,shale gray & brown,BEDROCK
592,"shale light gray, soft",BEDROCK
593,"soapstone, hard",BEDROCK
594,gray shale (M),BEDROCK
595,gray chert,BEDROCK
596,Gray brown oolitic lime,BEDROCK
597,Light gray brown dolomitic lime,BEDROCK
598,lime w/shale streaks,BEDROCK
599,into limestone,BEDROCK
600,"""slate""",BEDROCK
601,broken coal,BEDROCK
602,Brown dolomitic crystalline lime,BEDROCK
603,"sand, light; shale",DIRT AND BEDROCK
604,shale & shaly sand,BEDROCK
605,shale and shaley sand,BEDROCK
606,"coal, medium",BEDROCK
607,"shale-gray,sandy",BEDROCK
608,silty clay (w/sand and gravel),CLAY AND GRAVEL
609,gray chalky limestone,BEDROCK
610,gravely boulders,GRAVEL WITH BOULDERS
611,Green and gray sandy shale,BEDROCK
612,"Light brown crystalline lime, cherty",BEDROCK
613,Lee Center till,CLAY
614,Above to gray brown crystalline lime,BEDROCK
615,A,UNKNOWN
616,argillaceous slate,BEDROCK
617,"Brown crystalline fossiliferous lime, few oolites",BEDROCK
618,Brown sucrossic dolomite,BEDROCK
619,"clay, pink and gravel",CLAY
620,total depth in shale,BEDROCK
621,g & w lime,BEDROCK
622,y lime,BEDROCK
623,"medium gray sand, clean",SAND
624,"coarse brown sand, gravel",SAND AND GRAVEL
625,sand clay - yellow,CLAY AND SAND
626,clay - boulders,BOULDER
627,shale & flint,BEDROCK
628,b clay gritty,CLAY
629,w lime broken,BEDROCK
630,sandstone & coal lenses,BEDROCK
631,sand - some small gravel,SAND AND GRAVEL
632,gray clay (solid),CLAY
633,top & yellow clay,CLAY
634,sand (fine yellow),SAND
635,sand (fine with clay),SAND AND CLAY
636,sand & lime broken,DIRT AND BEDROCK
637,gray fine sand & broken lime,DIRT AND BEDROCK
638,"clay (sandy,yellow)",CLAY
639,sand & silty,SILT AND SAND
640,y & w lime,BEDROCK
641,y clay sandy,CLAY AND SAND
642,B. top soil,SOIL
643,yellow clay coves,CLAY
644,blue silt soft,SILT
645,R.Clay,CLAY
646,broken yellow lime,BEDROCK
647,"clay,blue-gray",CLAY
648,"shale,bottom at",BEDROCK
649,shale (some lime streaks),BEDROCK
650,"surface, clay, sand & gravel",DIRT
651,burlington,BEDROCK
652,Tan and light brown slightly sandy dolomitic fossiliferous lime,BEDROCK
653,Tan and light brown slightly sandy lime,BEDROCK
654,Tan and light brown sandy to crystalline lime,BEDROCK
655,tan cay,CLAY
656,tan cemented sandstone,BEDROCK
657,Tan cherty crystalline fossiliferous lime,BEDROCK
658,Tan and gray crystallien fossiliferous lime,BEDROCK
659,very soft gray clay,CLAY
660,very soft gray & red shale,BEDROCK
661,tan and gray shale,BEDROCK
662,tan and gray silt,SILT
663,"tan lime, hard",BEDROCK
664,tan lime with chert,BEDROCK
665,tan lime,BEDROCK
666,tan limesone,BEDROCK
667,Tradewater Formation,BEDROCK
668,clay tan mix with ss & gravel,CLAY AND GRAVEL
669,"clay shale, limestone partings",BEDROCK
670,"Clay shale, limestone nodules",BEDROCK
671,"clay shale, lime pebblesclay shale, lime partings",BEDROCK
672,"clay shale, light, hard",BEDROCK
673,"clay shale, gray - soft",BEDROCK
674,"clay shale, blue w/limestone nodules",BEDROCK
675,"clay shale, lime in it",BEDROCK
676,"clay shale, calcareous",BEDROCK
677,clay soft lime,CLAY
678,clay slip in coal,CLAY
679,clay soft sand & gravel,CLAY AND GRAVEL
680,"clay soil, yellow",SOIL
681,Warsaw shale,BEDROCK
682,strip sandstone & shale,BEDROCK
683,"till,sy,sty,gry,calc",CLAY
684,spoils,UNKNOWN
685,"till,yl ox,noncalc,w/lime pbbl,soil brn",CLAY
686,soil 3 clay 15,SOIL
687,Tan fossiliferous lime,BEDROCK
688,"ss, wh, f to med, incoh",BEDROCK
689,"subglacial|TILL|Batestown Member, Lemont Formation|l-b",CLAY
690,variegated clay,CLAY
691,some shale,BEDROCK
692,Upper Renault top at,BEDROCK
693,VY STIFF GRY STY CL TILL,CLAY AND SAND
694,very loose gray silt loam,SILT
695,tan sandy clay with gravel,CLAY AND GRAVEL
696,topsoil & root zone,SOIL
697,"soil, yellow clay, sandy",SOIL
698,very fine clean brown sand,SAND
699,surface clay & shale,DIRT AND BEDROCK
700,"till,vy sy,less pbbls,calc,lgt brnsh gry",CLAY
701,"Sonora, show of oil",BEDROCK
702,topsoil timber clay,SOIL
703,Tan and gray brown crystalline fossiliferous lime,BEDROCK
704,"till,sty,sy,calc,mostly gry w/ylsh stns",CLAY
705,"Till,vy sty&sy,pbbly,grnshgry,calc",CLAY
706,"St. Peter formation sandstone, water-bearing",BEDROCK
707,St.Peters sand,BEDROCK
708,various shades of gray limestone,BEDROCK
709,Tradewater Formation,BEDROCK
710,soft/medium gray shale,BEDROCK
711,"St. Peter sand, white",BEDROCK
712,"ss,f/crs,some dolc cmt",BEDROCK
713,"Till, pink, pebbly",CLAY
714,"soil, etc.",SOIL
715,some gravel in clay,CLAY AND GRAVEL
716,tan & gray silty clay,CLAY
717,streaks of lime & shale,BEDROCK
718,stratified sand & gravel,SAND AND GRAVEL
719,still in sandstone at,BEDROCK
720,tray till,CLAY
721,topsoil (fill),FILL
722,Tan and light brown crystalline cherty lime,BEDROCK
723,"Underclay, dark gray, firm",CLAY
724,Tan and brown oolitic fossiliferous lime,BEDROCK
725,streak gray shale,BEDROCK
726,topsoil fill clay,FILL
727,soil 3 clay 7,SOIL
728,topsoil 3 clay 12,SOIL
729,Tan and light gray oolitic lime,BEDROCK
730,surface pipe,SOIL
731,"till,vy sty,sy,pbly,grnsh-gry,calc",CLAY
732,Tan and gray brown dolomitic lime,BEDROCK
733,"soil classification - oxyaquic fragiudalfs, fine-silty, mixed, mesic",SOIL
734,Tan and white crystalline lime,BEDROCK
735,"ss,argil,f/med,coh,mic,pyrc,c;sidc;sh,sy",BEDROCK
736,"st,crs,less s,finer st,gray,calc,org mat",SILT
737,"st,s,slgt cly,noncalc,plnt mat",SILT
738,white limestone w/streaks of shale,BEDROCK
739,yellow gravel & clay mix,GRAVEL AND CLAY
740,yellow clay or shale,CLAY
741,"yellow sandstone, shale",BEDROCK
742,yellow lime broken,BEDROCK
743,"White fine grained sandstone, speckled with limonite.  Limonite.",BEDROCK
744,yellow to red clay,CLAY
745,water gray clay,CLAY
746,yellow / brown sandstone,BEDROCK
747,yellow hardpan (soft),SOIL
748,yellowish sandstone,BEDROCK
749,wet lime,BEDROCK
750,weathered sandy shale,BEDROCK
751,yellow sand wet,SAND
752,yellow gravel - sand,SAND AND GRAVEL
753,white Silurian,BEDROCK
754,white rock fine & hard,BEDROCK
755,yellow sand/water,SAND
756,white clay & shale,BEDROCK
757,white & yellow rock,BEDROCK
758,white gray rock,BEDROCK
759,yellow limestone (soft),BEDROCK
760,yellow sandy water,SAND
761,White and light gray fine grained sand,SAND
762,weathered limestone gray,BEDROCK
763,yellow & blue clays,CLAY
764,yellow white rock,BEDROCK
765,wh-water sandrock,BEDROCK
766,White fossiliferous limestone.,BEDROCK
767,yl ss w/strks spstn,BEDROCK
768,"Water sand, white",SAND
769,weathered dolomite,BEDROCK
770,yellow & tan limestone,BEDROCK
771,white lime & flint,BEDROCK
772,weathered white limestone,BEDROCK
773,"sandstone light gray, clean",BEDROCK
774,"sandstone gray, clean",BEDROCK
775,sandstone gray shaley medium,BEDROCK
776,"sand, firm",SAND
777,sand-white-medium,SAND
778,"sand, coarse; coarse gravel",SAND AND GRAVEL
779,sandstone light gray cemented,BEDROCK
780,"sandstone, permeable, salt water",BEDROCK
781,"sand, light, hard",SAND
782,"sand, fine medium poorly graded",SAND
783,"sand, green",SAND
784,sandstone green/white,BEDROCK
785,sandstone-shale,BEDROCK
786,"Sandstone, light gray, very fine to coarse, incoherent",BEDROCK
787,"sandstone, silty, white, fine to coarse, incoherent",BEDROCK
788,"Sand, calcareous, grayish brown",SAND
789,sandstone light gray hard,BEDROCK
790,"sand, coarse, lignite",SAND
791,"sand, light brown",SAND
792,"sandstone, salt water & shale",BEDROCK
793,"sand, fine med",SAND
794,"sand, fine poorly graded",SAND
795,sand-gravel water,SAND AND GRAVEL
796,"sandstone, gray, shaley",BEDROCK
797,sandstone w/ shale seams,BEDROCK
798,"sand, wood & coal",SAND
799,sand brown fine-medium clean loose,SAND
800,sand gravel with broken rock,SAND AND GRAVEL
801,sand med coarse fine gravel,SAND AND GRAVEL
802,sand little gravel showing,SAND AND GRAVEL
803,"sand,fine,yl,clean,well sorted,calc",SAND
804,"sand gravel, w/sandy clay",SAND AND GRAVEL
805,sand/silt/gravel,SAND AND GRAVEL
806,sandstone boulders,BEDROCK
807,sandstone - shaley,BEDROCK
808,"Sandstone: white, fine grained, semi-hard, tight.",BEDROCK
809,sandstone - sandy shale,BEDROCK
810,"sandstone,yellow",BEDROCK
811,"Sandstone, white, fine to coarse, subrounded, incoherent",BEDROCK
812,sand brown med,SAND
813,"sandstone,white,fine to coarse,incoh",BEDROCK
814,sand gray medium fine,SAND
815,sandrock clean,BEDROCK
816,sand gray very coarse with cobbles,SAND
817,sandrock gray clean,BEDROCK
818,"sandrock light gray, clean",BEDROCK
819,sandrock gray shale streaks,BEDROCK
820,sandstone - St. Peter,BEDROCK
821,sand medium coarse medium gravel,SAND AND GRAVEL
822,sandstone black,BEDROCK
823,"sand, medium coarse fine gravel",SAND AND GRAVEL
824,sandy clay & fine sand,CLAY AND SAND
825,sandy clay gravel boulders,BOULDER
826,Sandstone as above.,BEDROCK
827,"sand, medium; fine gravel",SAND AND GRAVEL
828,"Sandstone, light gray, very fine, angular, friable.",BEDROCK
829,sandstone some shale,BEDROCK
830,sandrock - shale streak,BEDROCK
831,sandstone w/light gray shale,BEDROCK
832,"sand, white, very hard",SAND
833,"sand, rock, light",SAND
834,sand shaley,SAND
835,sand medium coarse fine medium gravel,SAND AND GRAVEL
836,sandstone white clean,BEDROCK
837,sandstone white water bearing,BEDROCK
838,black dirt & topsoil,SOIL
839,brown & red sandstone,BEDROCK
840,brown & red shale,BEDROCK
841,brown & reddish sandstone,BEDROCK
842,brown & tan firm clay,CLAY
843,brown & tan lime,BEDROCK
844,brown & tan very sandy soft clay,CLAY AND SAND
845,brown & wh sandstone,BEDROCK
846,brown & tan sandy clay,CLAY AND SAND
847,brown & white rock,BEDROCK
848,brown & white sandstone & shale,BEDROCK
849,brown & yellow brown sandy clay,CLAY AND SAND
850,brown & yellow sandrock,BEDROCK
851,brown & yellow sandstone,BEDROCK
852,brown & yellow shale,BEDROCK
853,brown & yellow ss,BEDROCK
854,Brown and dark brown crystalline fossiliferous lime,BEDROCK
855,Brown and dark brown crystalline lime,BEDROCK
856,Brown and dark brown crystalline to dense lime,BEDROCK
857,Brown and gray brown crystalline fossiliferous lime,BEDROCK
858,Brown and gray brown crystalline lime,BEDROCK
859,Brown and gray brown dolomitic lime,BEDROCK
860,Brown and gray calcareous sandstone,BEDROCK
861,Brown and gray crystalline fossiliferous lime,BEDROCK
862,Brown and gray crystalline lime,BEDROCK
863,Brown and gray dense lime,BEDROCK
864,Brown and gray dolomitic lime,BEDROCK
865,brown and gray limestone,BEDROCK
866,Brown and gray sandy fossiliferous lime,BEDROCK
867,brown broken lime,BEDROCK
868,Brown calcareous sand,SAND
869,brown chert,BEDROCK
870,brown clay firm,CLAY
871,brown clay firm sticky,CLAY
872,brown clay firm tacky,CLAY
873,brown clay sandy & pebble,CLAY AND GRAVEL
874,brown clay sandy & pebble firm,CLAY AND GRAVEL
875,brown clay sandy firm,CLAY AND SAND
876,brown clay sandy hard,CLAY AND SAND
877,brown clay sandy soft,CLAY AND SAND
878,brown clay shale,DIRT AND BEDROCK
879,brown clay silty firm,CLAY
880,brown clay silty soft,CLAY
881,brown clay tacky,CLAY
882,brown clay very sandy,CLAY AND SAND
883,brown clay very sandy & soft,CLAY AND SAND
884,brown clay very tacky,CLAY
885,brown clay wet,CLAY
886,brown clay with coarse sand,CLAY AND SAND
887,brown clay with some pebbles,CLAY AND GRAVEL
888,"brown clay, gravel mixed in",CLAY AND GRAVEL
889,"brown clayey silt, trace of small gravel",CLAY AND GRAVEL
890,Brown crystallien fossiliferous lime,BEDROCK
891,brown coarse sand with fine gravel,SAND AND GRAVEL
892,Brown crystallin elime,BEDROCK
893,Brown crystalline dolomitic lime,BEDROCK
894,Brown crystalline fossilifeorus lime,BEDROCK
895,Brown crystalline fossiliferous cherty lime,BEDROCK
896,Brown crystalline fossiliferous lime,BEDROCK
897,Brown crystalline fossiliferous lime cherty,BEDROCK
898,Brown crystalline fossiliferous lime plus gray shale,BEDROCK
899,Brown crystalline fossiliferous lime scattered oolites,BEDROCK
900,"Brown crystalline fossiliferous lime, chalky",BEDROCK
901,"Brown crystalline fossiliferous lime, cherty",BEDROCK
902,"Brown crystalline fossiliferous lime, few pieces fluorescence",BEDROCK
903,"Brown crystalline fossiliferous lime, little chalky",BEDROCK
904,"Brown crystalline fossiliferous lime, little chert",BEDROCK
905,"Brown crystalline fossiliferous lime, no show of oil",BEDROCK
906,"Brown crystalline fossiliferous lime, oolitic",BEDROCK
907,"Brown crystalline fossiliferous lime, slightly dolomitic",BEDROCK
908,Brown crystalline lime fossiliferous,BEDROCK
909,Brown crystalline lime fossiliferous lime,BEDROCK
910,Brown crystalline lime slightly oolitic,BEDROCK
911,Brown crystalline lime to dolomitic lime,BEDROCK
912,Brown crystalline lime to oolitic,BEDROCK
913,"Brown crystalline lime, cherty",BEDROCK
914,"Brown crystalline lime, chalky",BEDROCK
915,"Brown crystalline lime, fossiliferous",BEDROCK
916,"Brown crystalline lime, scattered oolites",BEDROCK
917,"Brown crystalline lime, shaley",BEDROCK
918,"Brown crystalline lime, slightly dolomitic",BEDROCK
919,"Brown crystalline lime, slightly fossiliferous",BEDROCK
920,"Brown crystalline lime, slightly oolitic",BEDROCK
921,Brown crystalline lime.,BEDROCK
922,Brown crystalline oolitic lime,BEDROCK
923,Brown crystalline slight dolomitic lime,BEDROCK
924,Brown crystalline slightly dolomitic lime,BEDROCK
925,Brown crystalline to almost dense lime,BEDROCK
926,Brown crystalline to dense lime,BEDROCK
927,Brown crystalline to oolitic lime,BEDROCK
928,Brown dense lime,BEDROCK
929,brown dolomite & shale,BEDROCK
930,brown dolomite bedrock,BEDROCK
931,brown dolomite shale,BEDROCK
932,Brown dolomitic cherty lime,BEDROCK
933,Brown dolomitic crystalline lime,BEDROCK
934,Brown dolomitic fossiliferous lime,BEDROCK
935,brown dolomitic lime,BEDROCK
936,Brown dolomitic lime chalky,BEDROCK
937,Brown dolomitic lime cherty,BEDROCK
938,"Brown dolomitic lime, chalky",BEDROCK
939,"Brown dolomitic lime, cherty",BEDROCK
940,"Brown dolomitic lime, fossiliferous",BEDROCK
941,"Brown dolomitic lime, no show of oil",BEDROCK
942,"Brown dolomitic lime, little chalky",BEDROCK
943,"Brown dolomitic lime, no show of oil",BEDROCK
944,"Brown dolomitic lime, slightly fossiliferous",BEDROCK
945,"Brown dolomitic lime, slightly oolitic",BEDROCK
946,Brown dolomitic lime.,BEDROCK
947,Brown dolomitic to crystalline lime,BEDROCK
948,brown fine medium sand,SAND
949,brown fine medium sand,SAND
950,brown fine silt sand,SILT AND SAND
951,brown fine to coarse sand (loose),SAND
952,brown fine to coarse sand w/trace gravel,SAND AND GRAVEL
953,Brown fine to medium sandy gravel,SAND AND GRAVEL
954,brown fine to medium gravel,GRAVEL
955,Brown fine to medium sand,SAND
